"occupation_name";"country";"state";"count";"hispanic_or_latino_n";"white_n";"black_n";"asian_n";"pacific_islander_n";"american_or_alaskan_native_n";"other_or_multiple_n";"less_than_30yrs_n";"30_to_39_yrs_n";"40_to_49_yrs_n";"50_to_59_yrs_n";"60_or_older_n";"male_n";"female_n";"hispanic_or_latino_percentage";"white_percentage";"black_percentage";"asian_percentage";"pacific Islander_percentage";"american_or_alaskan_native_percentage";"other_or_multiple_percentage";"less_than_30yrs_percentage";"30_to_39_yrs_percentage";"40_to_49_yrs_percentage";"50_to_59_yrs_percentage";"60_or_older_percentage";"male_percentage";"female_percentage"
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"North Carolina";9554;0;7750;984;631;0;0;0;0;3501;2604;1856;942;1381;8173;0.0;81.118;10.299;6.605;0.0;0.0;0.0;0.0;36.644;27.256;19.426;9.86;14.455;85.545
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"Ohio";13755;0;11856;1045;0;0;0;0;788;5711;4048;1941;1267;1927;11828;0.0;86.194;7.597;0.0;0.0;0.0;0.0;5.729;41.519;29.429;14.111;9.211;14.009;85.991
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"Pennsylvania";12980;0;11271;576;660;0;0;0;822;4343;3263;2335;2217;2085;10895;0.0;86.834;4.438;5.085;0.0;0.0;0.0;6.333;33.459;25.139;17.989;17.08;16.063;83.937
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"Tennessee";9999;0;8807;715;0;0;0;0;708;4210;2124;1990;967;1561;8438;0.0;88.079;7.151;0.0;0.0;0.0;0.0;7.081;42.104;21.242;19.902;9.671;15.612;84.388
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"Texas";20917;3522;12170;2878;1787;0;0;0;1207;7771;6539;3403;1997;4769;16148;16.838;58.182;13.759;8.543;0.0;0.0;0.0;5.77;37.152;31.262;16.269;9.547;22.8;77.2
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"Virginia";7765;0;6151;790;401;0;0;0;0;2401;2454;1601;1027;832;6933;0.0;79.214;10.174;5.164;0.0;0.0;0.0;0.0;30.921;31.603;20.618;13.226;10.715;89.285
"Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists)";"United States";"All States";270655;16500;209856;19406;17083;0;586;7079;15213;93492;74561;50947;36442;42429;228226;6.096;77.536;7.17;6.312;0.0;0.217;2.616;5.621;34.543;27.548;18.824;13.464;15.676;84.324
"Counselors";"United States";"Arkansas";2797;0;1715;893;0;0;0;0;520;853;687;293;444;766;2031;0.0;61.316;31.927;0.0;0.0;0.0;0.0;18.591;30.497;24.562;10.476;15.874;27.386;72.614
"Counselors";"United States";"California";54311;17705;24292;4801;4895;0;0;2109;13736;14194;9690;8057;8634;15701;38610;32.599;44.728;8.84;9.013;0.0;0.0;3.883;25.291;26.135;17.842;14.835;15.897;28.909;71.091
"Counselors";"United States";"Colorado";7776;776;6161;198;0;0;0;414;1597;2131;1559;1174;1315;1528;6248;9.979;79.231;2.546;0.0;0.0;0.0;5.324;20.538;27.405;20.049;15.098;16.911;19.65;80.35
"Counselors";"United States";"Connecticut";4784;342;3328;761;0;0;0;0;1006;1244;901;967;666;1140;3644;7.149;69.565;15.907;0.0;0.0;0.0;0.0;21.028;26.003;18.834;20.213;13.921;23.829;76.171
"Counselors";"United States";"Florida";23400;6348;11308;4891;388;0;0;453;4694;5975;5254;3693;3784;6306;17094;27.128;48.325;20.902;1.658;0.0;0.0;1.936;20.06;25.534;22.453;15.782;16.171;26.949;73.051
"Counselors";"United States";"Georgia";10391;0;4640;4880;0;0;0;368;1525;3398;2512;1788;1168;2078;8313;0.0;44.654;46.964;0.0;0.0;0.0;3.542;14.676;32.701;24.175;17.207;11.24;19.998;80.002
"Counselors";"United States";"Illinois";15654;1995;9359;3493;433;0;0;0;3966;3629;3090;2527;2442;4537;11117;12.744;59.787;22.314;2.766;0.0;0.0;0.0;25.335;23.183;19.739;16.143;15.6;28.983;71.017
"Counselors";"United States";"Indiana";7163;0;5528;1268;0;0;0;0;2002;1588;1465;871;1237;1579;5584;0.0;77.174;17.702;0.0;0.0;0.0;0.0;27.949;22.169;20.452;12.16;17.269;22.044;77.956
"Counselors";"United States";"Kentucky";5054;0;4300;478;0;0;0;0;936;1315;1483;883;437;1452;3602;0.0;85.081;9.458;0.0;0.0;0.0;0.0;18.52;26.019;29.343;17.471;8.647;28.73;71.27
"Counselors";"United States";"Louisiana";7323;0;2924;3967;0;0;0;0;2018;1802;1438;1040;1025;1495;5828;0.0;39.929;54.172;0.0;0.0;0.0;0.0;27.557;24.607;19.637;14.202;13.997;20.415;79.585
"Counselors";"United States";"Maryland";8246;567;4137;3147;0;0;0;0;2408;2123;1260;1469;986;1847;6399;6.876;50.17;38.164;0.0;0.0;0.0;0.0;29.202;25.746;15.28;17.815;11.957;22.399;77.601
"Counselors";"United States";"Massachusetts";16541;1583;10481;3474;595;0;0;408;4526;4095;2738;2608;2574;5131;11410;9.57;63.364;21.002;3.597;0.0;0.0;2.467;27.362;24.757;16.553;15.767;15.561;31.02;68.98
"Counselors";"United States";"Michigan";8836;0;6164;1678;0;0;0;0;1645;2228;2019;1400;1544;2183;6653;0.0;69.76;18.99;0.0;0.0;0.0;0.0;18.617;25.215;22.85;15.844;17.474;24.706;75.294
"Counselors";"United States";"Minnesota";10622;327;9170;536;0;0;0;0;2524;3215;2174;1492;1217;2974;7648;3.079;86.33;5.046;0.0;0.0;0.0;0.0;23.762;30.267;20.467;14.046;11.457;27.998;72.002
"Counselors";"United States";"Missouri";7006;0;5195;1163;0;0;0;0;1250;1563;1564;1250;1379;2453;4553;0.0;74.151;16.6;0.0;0.0;0.0;0.0;17.842;22.309;22.324;17.842;19.683;35.013;64.987
"Counselors";"United States";"New Jersey";10666;1242;6016;2855;415;0;0;0;2563;3375;1310;1637;1781;2617;8049;11.644;56.404;26.767;3.891;0.0;0.0;0.0;24.03;31.643;12.282;15.348;16.698;24.536;75.464
"Counselors";"United States";"New York";30092;5146;16118;6877;1007;0;0;906;8210;7133;4719;4803;5227;9247;20845;17.101;53.562;22.853;3.346;0.0;0.0;3.011;27.283;23.704;15.682;15.961;17.37;30.729;69.271
"Counselors";"United States";"North Carolina";10987;0;6836;3265;0;0;0;278;1834;3105;2136;2328;1584;2175;8812;0.0;62.219;29.717;0.0;0.0;0.0;2.53;16.692;28.261;19.441;21.189;14.417;19.796;80.204
"Counselors";"United States";"Ohio";15448;316;11704;2871;0;0;0;0;3613;3616;2842;2655;2722;3879;11569;2.046;75.764;18.585;0.0;0.0;0.0;0.0;23.388;23.408;18.397;17.187;17.62;25.11;74.89
"Counselors";"United States";"Pennsylvania";25027;1423;16703;5664;521;0;0;701;5717;7342;5192;3452;3324;7090;17937;5.686;66.74;22.632;2.082;0.0;0.0;2.801;22.843;29.336;20.746;13.793;13.282;28.329;71.671
"Counselors";"United States";"South Carolina";5569;0;2995;2175;0;0;0;0;1283;1174;894;1366;852;2143;3426;0.0;53.78;39.055;0.0;0.0;0.0;0.0;23.038;21.081;16.053;24.529;15.299;38.481;61.519
"Counselors";"United States";"Tennessee";7028;0;4963;1481;0;0;0;0;1393;2076;1345;1313;901;1524;5504;0.0;70.618;21.073;0.0;0.0;0.0;0.0;19.821;29.539;19.138;18.682;12.82;21.685;78.315
"Counselors";"United States";"Texas";23059;6018;12367;3628;461;0;0;502;4479;6847;4620;4000;3113;5600;17459;26.098;53.632;15.734;1.999;0.0;0.0;2.177;19.424;29.693;20.036;17.347;13.5;24.286;75.714
"Counselors";"United States";"Virginia";14834;558;7295;6037;0;0;0;0;3752;4251;2504;2584;1743;3389;11445;3.762;49.178;40.697;0.0;0.0;0.0;0.0;25.293;28.657;16.88;17.419;11.75;22.846;77.154
"Counselors";"United States";"Washington";13610;731;10822;706;593;0;0;673;2386;3281;2632;2811;2500;3486;10124;5.371;79.515;5.187;4.357;0.0;0.0;4.945;17.531;24.107;19.339;20.654;18.369;25.614;74.386
"Counselors";"United States";"All States";424923;53972;262252;79078;13187;498;2030;13906;94808;111679;82732;69963;65741;113517;311406;12.702;61.718;18.61;3.103;0.117;0.478;3.273;22.312;26.282;19.47;16.465;15.471;26.715;73.285
"Diagnostic Related Technologists & Technicians";"United States";"Alabama";7508;0;6159;705;0;0;0;0;1735;1598;1962;1534;679;2279;5229;0.0;82.032;9.39;0.0;0.0;0.0;0.0;23.109;21.284;26.132;20.432;9.044;30.354;69.646
"Diagnostic Related Technologists & Technicians";"United States";"California";41946;11595;17846;2390;8237;0;0;1664;4603;12236;9581;9190;6336;19619;22327;27.643;42.545;5.698;19.637;0.0;0.0;3.967;10.974;29.171;22.841;21.909;15.105;46.772;53.228
"Diagnostic Related Technologists & Technicians";"United States";"Florida";28839;6265;16986;3050;1534;0;0;930;4367;7085;6771;6671;3945;12024;16815;21.724;58.899;10.576;5.319;0.0;0.0;3.225;15.143;24.567;23.479;23.132;13.679;41.694;58.306
"Diagnostic Related Technologists & Technicians";"United States";"Georgia";13792;348;9094;3771;396;0;0;0;2597;3520;3675;3133;867;4128;9664;2.523;65.937;27.342;2.871;0.0;0.0;0.0;18.83;25.522;26.646;22.716;6.286;29.93;70.07
"Diagnostic Related Technologists & Technicians";"United States";"Illinois";17918;1683;12340;1654;1747;0;0;0;2755;4995;4434;3756;1978;5429;12489;9.393;68.869;9.231;9.75;0.0;0.0;0.0;15.376;27.877;24.746;20.962;11.039;30.299;69.701
"Diagnostic Related Technologists & Technicians";"United States";"Indiana";10109;621;8307;635;0;0;0;0;1776;2669;2868;1797;999;1961;8148;6.143;82.174;6.282;0.0;0.0;0.0;0.0;17.569;26.402;28.371;17.776;9.882;19.399;80.601
"Diagnostic Related Technologists & Technicians";"United States";"Louisiana";6456;0;4808;573;348;0;0;0;1570;2013;1261;931;681;2499;3957;0.0;74.473;8.875;5.39;0.0;0.0;0.0;24.318;31.18;19.532;14.421;10.548;38.708;61.292
"Diagnostic Related Technologists & Technicians";"United States";"Maryland";8419;0;5045;1935;750;0;0;0;1091;2288;2442;1650;948;2531;5888;0.0;59.924;22.984;8.908;0.0;0.0;0.0;12.959;27.177;29.006;19.599;11.26;30.063;69.937
"Diagnostic Related Technologists & Technicians";"United States";"Massachusetts";9991;500;8323;453;519;0;0;0;1333;2580;2178;2387;1513;2638;7353;5.005;83.305;4.534;5.195;0.0;0.0;0.0;13.342;25.823;21.8;23.892;15.144;26.404;73.596
"Diagnostic Related Technologists & Technicians";"United States";"Michigan";14457;507;12059;707;563;0;0;576;2713;3848;2681;3294;1921;3995;10462;3.507;83.413;4.89;3.894;0.0;0.0;3.984;18.766;26.617;18.545;22.785;13.288;27.634;72.366
"Diagnostic Related Technologists & Technicians";"United States";"Mississippi";3906;0;3295;423;0;0;0;0;973;1177;888;617;251;1478;2428;0.0;84.357;10.829;0.0;0.0;0.0;0.0;24.91;30.133;22.734;15.796;6.426;37.839;62.161
"Diagnostic Related Technologists & Technicians";"United States";"New Jersey";13160;1273;8829;1332;1517;0;0;0;2277;3127;3246;2769;1741;4270;8890;9.673;67.09;10.122;11.527;0.0;0.0;0.0;17.302;23.761;24.666;21.041;13.229;32.447;67.553
"Diagnostic Related Technologists & Technicians";"United States";"New York";29760;3940;17839;3824;3493;0;0;656;4469;8180;6675;6638;3798;11311;18449;13.239;59.943;12.849;11.737;0.0;0.0;2.204;15.017;27.487;22.429;22.305;12.762;38.007;61.993
"Diagnostic Related Technologists & Technicians";"United States";"North Carolina";13923;1044;10184;1873;570;0;0;0;2673;3134;3697;3277;1142;3491;10432;7.498;73.145;13.453;4.094;0.0;0.0;0.0;19.198;22.51;26.553;23.537;8.202;25.074;74.926
"Diagnostic Related Technologists & Technicians";"United States";"Ohio";16325;616;13823;849;366;0;0;0;3317;4329;3178;3453;2048;3895;12430;3.773;84.674;5.201;2.242;0.0;0.0;0.0;20.319;26.518;19.467;21.152;12.545;23.859;76.141
"Diagnostic Related Technologists & Technicians";"United States";"Pennsylvania";20611;656;17692;603;1262;0;0;0;3605;5553;4685;4284;2484;5116;15495;3.183;85.838;2.926;6.123;0.0;0.0;0.0;17.491;26.942;22.731;20.785;12.052;24.822;75.178
"Diagnostic Related Technologists & Technicians";"United States";"South Carolina";6174;0;5057;639;0;0;0;0;897;2023;1530;1236;488;1759;4415;0.0;81.908;10.35;0.0;0.0;0.0;0.0;14.529;32.766;24.781;20.019;7.904;28.49;71.51
"Diagnostic Related Technologists & Technicians";"United States";"Tennessee";10553;0;9050;902;0;0;0;0;1698;2844;2454;2692;865;3335;7218;0.0;85.758;8.547;0.0;0.0;0.0;0.0;16.09;26.95;23.254;25.509;8.197;31.602;68.398
"Diagnostic Related Technologists & Technicians";"United States";"Texas";35772;10152;17844;4092;2685;0;0;889;5920;10625;9050;6493;3684;13660;22112;28.38;49.883;11.439;7.506;0.0;0.0;2.485;16.549;29.702;25.299;18.151;10.299;38.186;61.814
"Diagnostic Related Technologists & Technicians";"United States";"Virginia";10517;622;7774;1141;588;0;0;371;1837;2803;2594;2380;903;3397;7120;5.914;73.918;10.849;5.591;0.0;0.0;3.528;17.467;26.652;24.665;22.63;8.586;32.3;67.7
"Diagnostic Related Technologists & Technicians";"United States";"All States";437978;49651;308031;35787;30897;802;1725;11085;73395;121562;103208;89713;50100;144954;293024;11.336;70.33;8.171;7.054;0.183;0.394;2.531;16.758;27.755;23.565;20.483;11.439;33.096;66.904
"Dietitians and Nutritionists";"United States";"California";10676;2220;5442;617;1868;0;0;0;1722;2903;2392;1773;1886;1186;9490;20.794;50.974;5.779;17.497;0.0;0.0;0.0;16.13;27.192;22.405;16.607;17.666;11.109;88.891
"Dietitians and Nutritionists";"United States";"New York";7457;751;4788;1148;657;0;0;0;1386;1817;1704;1420;1130;870;6587;10.071;64.208;15.395;8.811;0.0;0.0;0.0;18.587;24.366;22.851;19.043;15.154;11.667;88.333
"Dietitians and Nutritionists";"United States";"Texas";9163;2338;4216;1340;0;0;0;0;2326;2487;1489;1489;1372;781;8382;25.516;46.011;14.624;0.0;0.0;0.0;0.0;25.385;27.142;16.25;16.25;14.973;8.523;91.477
"Dietitians and Nutritionists";"United States";"All States";111772;10566;76903;13529;7039;0;508;3177;25536;28425;21995;19563;16253;10858;100914;9.453;68.803;12.104;6.298;0.0;0.454;2.842;22.847;25.431;19.678;17.503;14.541;9.714;90.286
"Emergency Medical Technicians and Paramedics";"United States";"California";23716;6918;12185;1138;2386;0;0;968;11788;6980;2941;1309;698;17127;6589;29.17;51.379;4.798;10.061;0.0;0.0;4.082;49.705;29.432;12.401;5.519;2.943;72.217;27.783
"Emergency Medical Technicians and Paramedics";"United States";"Florida";13920;3108;9208;1044;0;0;0;0;4726;4212;2702;1801;479;10050;3870;22.328;66.149;7.5;0.0;0.0;0.0;0.0;33.951;30.259;19.411;12.938;3.441;72.198;27.802
"Emergency Medical Technicians and Paramedics";"United States";"Georgia";9115;530;6611;1266;0;0;0;0;3060;2575;1832;1437;0;6031;3084;5.815;72.529;13.889;0.0;0.0;0.0;0.0;33.571;28.25;20.099;15.765;0.0;66.166;33.834
"Emergency Medical Technicians and Paramedics";"United States";"Illinois";8673;1264;6303;593;0;0;0;0;3421;2604;1126;997;525;5539;3134;14.574;72.674;6.837;0.0;0.0;0.0;0.0;39.444;30.024;12.983;11.495;6.053;63.865;36.135
"Emergency Medical Technicians and Paramedics";"United States";"Maryland";3144;0;2247;471;0;0;0;0;1016;1093;416;372;0;1880;1264;0.0;71.469;14.981;0.0;0.0;0.0;0.0;32.316;34.765;13.232;11.832;0.0;59.796;40.204
"Emergency Medical Technicians and Paramedics";"United States";"New Jersey";5576;965;3821;516;0;0;0;0;2033;1644;797;844;0;3551;2025;17.306;68.526;9.254;0.0;0.0;0.0;0.0;36.46;29.484;14.293;15.136;0.0;63.684;36.316
"Emergency Medical Technicians and Paramedics";"United States";"New York";16674;3995;9451;2096;755;0;0;374;7249;3921;2918;1799;787;10563;6111;23.959;56.681;12.57;4.528;0.0;0.0;2.243;43.475;23.516;17.5;10.789;4.72;63.35;36.65
"Emergency Medical Technicians and Paramedics";"United States";"North Carolina";11375;530;9505;688;0;0;0;0;4612;2790;2149;1426;0;6952;4423;4.659;83.56;6.048;0.0;0.0;0.0;0.0;40.545;24.527;18.892;12.536;0.0;61.116;38.884
"Emergency Medical Technicians and Paramedics";"United States";"Pennsylvania";10617;0;8718;1169;0;0;0;0;3954;2561;1648;1635;819;7184;3433;0.0;82.114;11.011;0.0;0.0;0.0;0.0;37.242;24.122;15.522;15.4;7.714;67.665;32.335
"Emergency Medical Technicians and Paramedics";"United States";"South Carolina";4911;0;3560;900;0;0;0;0;1511;1185;1306;583;0;3450;1461;0.0;72.49;18.326;0.0;0.0;0.0;0.0;30.768;24.13;26.593;11.871;0.0;70.25;29.75
"Emergency Medical Technicians and Paramedics";"United States";"Texas";17323;4758;10378;1176;0;0;0;468;6426;5643;3083;1652;519;11983;5340;27.466;59.909;6.789;0.0;0.0;0.0;2.702;37.095;32.575;17.797;9.536;2.996;69.174;30.826
"Emergency Medical Technicians and Paramedics";"United States";"Virginia";5225;503;3877;604;0;0;0;0;2213;1412;842;559;199;3467;1758;9.627;74.201;11.56;0.0;0.0;0.0;0.0;42.354;27.024;16.115;10.699;3.809;66.354;33.646
"Emergency Medical Technicians and Paramedics";"United States";"All States";238742;31093;173867;16454;7413;0;2232;7433;93576;66413;42153;26907;9693;157499;81243;13.024;72.826;6.892;3.105;0.0;0.935;3.113;39.195;27.818;17.656;11.27;4.06;65.97;34.03
"Health Practitioner Support Technologists and Technicians";"United States";"Alabama";12917;0;8828;3581;0;0;0;0;5181;3088;2091;1669;888;2141;10776;0.0;68.344;27.723;0.0;0.0;0.0;0.0;40.11;23.906;16.188;12.921;6.875;16.575;83.425
"Health Practitioner Support Technologists and Technicians";"United States";"Arizona";20579;6564;9378;1938;765;0;1091;843;7050;6436;3485;2265;1343;5998;14581;31.897;45.571;9.417;3.717;0.0;5.302;4.096;34.258;31.275;16.935;11.006;6.526;29.146;70.854
"Health Practitioner Support Technologists and Technicians";"United States";"Arkansas";6394;0;4901;914;0;0;0;0;2855;1418;920;878;0;1036;5358;0.0;76.65;14.295;0.0;0.0;0.0;0.0;44.651;22.177;14.388;13.732;0.0;16.203;83.797
"Health Practitioner Support Technologists and Technicians";"United States";"California";79833;30175;25579;5205;14557;0;333;3557;26791;22961;15044;10640;4397;22954;56879;37.798;32.041;6.52;18.234;0.0;0.417;4.456;33.559;28.761;18.844;13.328;5.508;28.753;71.247
"Health Practitioner Support Technologists and Technicians";"United States";"Colorado";14482;3277;9455;608;380;0;0;587;6153;4119;2389;1183;638;2826;11656;22.628;65.288;4.198;2.624;0.0;0.0;4.053;42.487;28.442;16.496;8.169;4.405;19.514;80.486
"Health Practitioner Support Technologists and Technicians";"United States";"Connecticut";8273;1352;4998;1256;472;0;0;0;2818;2573;1394;935;553;1736;6537;16.342;60.413;15.182;5.705;0.0;0.0;0.0;34.063;31.101;16.85;11.302;6.684;20.984;79.016
"Health Practitioner Support Technologists and Technicians";"United States";"Florida";54802;15466;24706;10693;1840;0;0;1854;21863;13724;9492;6801;2922;12040;42762;28.222;45.082;19.512;3.358;0.0;0.0;3.383;39.895;25.043;17.321;12.41;5.332;21.97;78.03
"Health Practitioner Support Technologists and Technicians";"United States";"Georgia";21664;1167;11671;7149;1075;0;0;0;9051;5540;3979;1935;1159;4508;17156;5.387;53.873;32.999;4.962;0.0;0.0;0.0;41.779;25.572;18.367;8.932;5.35;20.809;79.191
"Health Practitioner Support Technologists and Technicians";"United States";"Illinois";29974;3838;17449;5383;2331;0;0;878;11556;7930;4946;3507;2035;6942;23032;12.804;58.214;17.959;7.777;0.0;0.0;2.929;38.553;26.456;16.501;11.7;6.789;23.16;76.84
"Health Practitioner Support Technologists and Technicians";"United States";"Indiana";19112;444;15673;1682;0;0;0;0;6878;5012;3000;2787;1435;2877;16235;2.323;82.006;8.801;0.0;0.0;0.0;0.0;35.988;26.224;15.697;14.582;7.508;15.053;84.947
"Health Practitioner Support Technologists and Technicians";"United States";"Kansas";7589;655;5912;431;0;0;0;304;3530;1597;952;842;668;1502;6087;8.631;77.902;5.679;0.0;0.0;0.0;4.006;46.515;21.044;12.544;11.095;8.802;19.792;80.208
"Health Practitioner Support Technologists and Technicians";"United States";"Kentucky";12810;0;10998;1001;0;0;0;0;5502;2561;2130;1936;681;2647;10163;0.0;85.855;7.814;0.0;0.0;0.0;0.0;42.951;19.992;16.628;15.113;5.316;20.664;79.336
"Health Practitioner Support Technologists and Technicians";"United States";"Louisiana";11906;341;6319;4554;0;0;0;0;4569;2921;2035;1846;535;1206;10700;2.864;53.074;38.25;0.0;0.0;0.0;0.0;38.376;24.534;17.092;15.505;4.494;10.129;89.871
"Health Practitioner Support Technologists and Technicians";"United States";"Maryland";13829;1172;6483;4748;975;0;0;451;5661;3294;2145;1518;1211;2284;11545;8.475;46.88;34.334;7.05;0.0;0.0;3.261;40.936;23.82;15.511;10.977;8.757;16.516;83.484
"Health Practitioner Support Technologists and Technicians";"United States";"Massachusetts";16471;1764;11173;1540;1139;0;0;851;6300;4135;2450;2055;1531;3983;12488;10.71;67.834;9.35;6.915;0.0;0.0;5.167;38.249;25.105;14.875;12.476;9.295;24.182;75.818
"Health Practitioner Support Technologists and Technicians";"United States";"Michigan";26012;1690;19591;2932;726;0;0;993;11681;5379;4158;3505;1289;3637;22375;6.497;75.315;11.272;2.791;0.0;0.0;3.817;44.906;20.679;15.985;13.475;4.955;13.982;86.018
"Health Practitioner Support Technologists and Technicians";"United States";"Minnesota";15544;0;12124;716;1471;0;0;716;5726;3844;2516;2375;1083;2857;12687;0.0;77.998;4.606;9.463;0.0;0.0;4.606;36.837;24.73;16.186;15.279;6.967;18.38;81.62
"Health Practitioner Support Technologists and Technicians";"United States";"Mississippi";6848;0;4153;2069;0;0;0;0;2816;1961;1014;693;364;1000;5848;0.0;60.645;30.213;0.0;0.0;0.0;0.0;41.121;28.636;14.807;10.12;5.315;14.603;85.397
"Health Practitioner Support Technologists and Technicians";"United States";"Missouri";19922;0;14799;3487;435;0;0;689;9115;4605;2789;2235;1178;4145;15777;0.0;74.285;17.503;2.184;0.0;0.0;3.458;45.753;23.115;14.0;11.219;5.913;20.806;79.194
"Health Practitioner Support Technologists and Technicians";"United States";"Nevada";6215;1636;2939;608;609;0;0;0;2256;1848;1283;525;303;1507;4708;26.323;47.289;9.783;9.799;0.0;0.0;0.0;36.299;29.735;20.644;8.447;4.875;24.248;75.752
"Health Practitioner Support Technologists and Technicians";"United States";"New Jersey";17812;3486;9562;1907;2587;0;0;0;7024;4257;3006;2326;1199;4080;13732;19.571;53.683;10.706;14.524;0.0;0.0;0.0;39.434;23.9;16.876;13.059;6.731;22.906;77.094
"Health Practitioner Support Technologists and Technicians";"United States";"New York";37108;5226;19302;6256;4603;0;0;1640;13860;10381;4835;5543;2489;10251;26857;14.083;52.016;16.859;12.404;0.0;0.0;4.42;37.35;27.975;13.03;14.937;6.707;27.625;72.375
"Health Practitioner Support Technologists and Technicians";"United States";"North Carolina";28512;1002;18054;6724;545;0;419;1735;10817;7776;4719;3093;2107;5699;22813;3.514;63.321;23.583;1.911;0.0;1.47;6.085;37.938;27.273;16.551;10.848;7.39;19.988;80.012
"Health Practitioner Support Technologists and Technicians";"United States";"Ohio";33302;847;25725;4630;522;0;0;1465;13186;8348;5021;4396;2351;5879;27423;2.543;77.248;13.903;1.567;0.0;0.0;4.399;39.595;25.068;15.077;13.2;7.06;17.654;82.346
"Health Practitioner Support Technologists and Technicians";"United States";"Oklahoma";10166;761;6741;981;0;0;449;1016;3563;2948;1713;1148;794;2080;8086;7.486;66.309;9.65;0.0;0.0;4.417;9.994;35.048;28.999;16.85;11.293;7.81;20.46;79.54
