occupation_name,country,state,count,hispanic_or_latino_n,white_n,black_n,asian_n,pacific_islander_n,american_or_alaskan_native_n,other_or_multiple_n,less_than_30yrs_n,30_to_39_yrs_n,40_to_49_yrs_n,50_to_59_yrs_n,60_or_older_n,male_n,female_n,hispanic_or_latino_percentage,white_percentage,black_percentage,asian_percentage,pacific Islander_percentage,american_or_alaskan_native_percentage,other_or_multiple_percentage,less_than_30yrs_percentage,30_to_39_yrs_percentage,40_to_49_yrs_percentage,50_to_59_yrs_percentage,60_or_older_percentage,male_percentage,female_percentage
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Illinois,9525,0,7387,,623,0,0,0,673,3149,2651,2014,1038,887,8638,0,77.554,0,6.541,,,,7.066,33.06,27.832,21.144,10.898,9.312,90.688
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Indiana,5687,0,5331,,,0,0,0,521,1775,1304,1184,903,430,5257,0,93.74,0,,,,,9.161,31.212,22.929,20.819,15.878,7.561,92.439
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Iowa,2377,0,2071,,,0,0,0,0,959,491,459,417,,2019,0,87.127,0,,,,,,40.345,20.656,19.31,17.543,,84.939
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Kansas,3207,0,2591,,,0,0,0,0,1131,1179,640,245,708,2499,0,80.792,0,,,,,,35.267,36.763,19.956,7.64,22.077,77.923
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Kentucky,5510,0,5253,,,0,0,0,357,2172,1967,735,279,805,4705,0,95.336,0,,,,,6.479,39.419,35.699,13.339,5.064,14.61,85.39
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Louisiana,4103,0,3401,572,,0,0,0,0,1738,1251,648,310,1046,3057,0,82.891,13.941,,,,,,42.359,30.49,15.793,7.555,25.494,74.506
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Maine,1582,0,1579,,,0,0,0,0,,478,,279,,1318,0,99.81,,,,,,,,30.215,,17.636,,83.312
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Maryland,4709,0,3313,886,,0,0,0,0,1713,1372,738,704,,4465,0,70.355,18.815,,,,,,36.377,29.136,15.672,14.95,,94.818
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Massachusetts,8726,463,7118,546,349,0,0,0,935,3135,1973,1437,1246,738,7988,5.306,81.572,6.257,4,,,,10.715,35.927,22.611,16.468,14.279,8.457,91.543
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Michigan,8261,0,7301,,,0,0,0,321,2639,2325,1590,1386,1512,6749,0,88.379,,,,,,3.886,31.945,28.144,19.247,16.778,18.303,81.697
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Minnesota,5407,0,5108,,,0,0,0,0,2122,1612,914,412,583,4824,0,94.47,,,,,,,39.245,29.813,16.904,7.62,10.782,89.218
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Mississippi,3454,0,2908,440,,0,0,0,0,998,1007,,396,675,2779,0,84.192,12.739,,,,,,28.894,29.155,,11.465,19.543,80.457
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Missouri,8025,0,7097,,,0,0,0,404,2715,2253,1532,1121,966,7059,0,88.436,,,,,,5.034,33.832,28.075,19.09,13.969,12.037,87.963
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Montana,961,0,961,,,0,0,0,0,,381,,118,,840,0,100,,,,,,,,39.646,,12.279,,87.409
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Nebraska,1803,0,1693,,,0,0,0,0,785,,,,,1550,0,93.899,,,,,,,43.539,,,,,85.968
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Nevada,1244,0,666,,403,0,0,0,0,615,,,,,1024,,53.537,,32.395,,,,,49.437,,,,,82.315
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,New Hampshire,1375,0,1232,,,0,0,0,0,378,421,304,241,,1174,,89.6,,,,,,,27.491,30.618,22.109,17.527,,85.382
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,New Jersey,4727,0,3097,519,545,0,0,0,0,1500,1059,1016,869,707,4020,,65.517,10.979,11.53,,,,,31.733,22.403,21.494,18.384,14.957,85.043
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,New Mexico,1540,0,1054,,,0,0,0,0,219,385,532,291,,1336,,68.442,,,,,,,14.221,25,34.545,18.896,,86.753
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,New York,16307,1081,11404,1343,1982,0,0,491,1060,4822,3825,3586,3014,2182,14125,6.629,69.933,8.236,12.154,,,3.011,6.5,29.57,23.456,21.991,18.483,13.381,86.619
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,North Carolina,9554,0,7750,984,631,0,0,0,0,3501,2604,1856,942,1381,8173,,81.118,10.299,6.605,,,,,36.644,27.256,19.426,9.86,14.455,85.545
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,North Dakota,1192,0,1192,,,0,0,0,0,,,,,,,,100,,,,,,,,,,,,
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Ohio,13755,0,11856,1045,,0,0,0,788,5711,4048,1941,1267,1927,11828,,86.194,7.597,,,,,5.729,41.519,29.429,14.111,9.211,14.009,85.991
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Oklahoma,2107,0,1521,,,0,0,0,0,1091,501,419,,,1663,,72.188,,,,,,,51.78,23.778,19.886,,,78.927
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Oregon,3531,0,3044,,,0,0,0,0,887,843,563,1143,512,3019,,86.208,,,,,,,25.12,23.874,15.944,32.37,14.5,85.5
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Pennsylvania,12980,0,11271,576,660,0,0,0,822,4343,3263,2335,2217,2085,10895,,86.834,4.438,5.085,,,,6.333,33.459,25.139,17.989,17.08,16.063,83.937
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Rhode Island,696,0,596,,,0,0,0,0,363,,,,,661,,85.632,,,,,,,52.155,,,,,94.971
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,South Carolina,4513,0,3987,,,0,0,0,0,1560,1233,,485,,3789,,88.345,,,,,,,34.567,27.321,,10.747,,83.957
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,South Dakota,511,0,511,,,0,0,0,0,,,,,,397,,100,,,,,,,,,,,,77.691
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Tennessee,9999,0,8807,715,,0,0,,708,4210,2124,1990,967,1561,8438,,88.079,7.151,,,,,7.081,42.104,21.242,19.902,9.671,15.612,84.388
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Texas,20917,3522,12170,2878,1787,0,0,,1207,7771,6539,3403,1997,4769,16148,16.838,58.182,13.759,8.543,,,,5.77,37.152,31.262,16.269,9.547,22.8,77.2
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Utah,1943,0,1838,,,0,0,,,549,601,547,,772,1171,,94.596,,,,,,,28.255,30.932,28.152,,39.732,60.268
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Vermont,702,0,644,,,0,0,,,,,,,,556,,91.738,,,,,,,,,,,,79.202
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Virginia,7765,0,6151,790,401,0,0,,,2401,2454,1601,1027,832,6933,,79.214,10.174,5.164,,,,,30.921,31.603,20.618,13.226,10.715,89.285
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Washington,5750,0,4718,,480,0,0,,,2084,1469,954,989,935,4815,,82.052,,8.348,,,,,36.243,25.548,16.591,17.2,16.261,83.739
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,West Virginia,1819,0,1670,,,0,0,,,511,645,,,369,1450,,91.809,,,,,,,28.092,35.459,,,20.286,79.714
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Wisconsin,4819,0,4493,,,0,0,,,1548,1367,1071,650,609,4210,,93.235,,,,,,,32.123,28.367,22.225,13.488,12.637,87.363
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,Wyoming,772,0,722,,,0,0,,,,,,,,746,,93.523,,,,,,,,,,,,96.632
Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),United States,All States,270655,16500,209856,19406,17083,0,586,7079,15213,93492,74561,50947,36442,42429,228226,6.096,77.536,7.17,6.312,,0.217,2.616,5.621,34.543,27.548,18.824,13.464,15.676,84.324
Counselors,United States,Alaska,1572,0,820,,,0,0,,,,,,,,874,,52.163,,,,,,,,,,,,55.598
Counselors,United States,Arizona,7404,1593,4710,,,0,0,,962,1844,1590,1518,1490,2289,5115,21.515,63.614,,,,,,12.993,24.905,21.475,20.502,20.124,30.916,69.084
Counselors,United States,Arkansas,2797,0,1715,893,,0,0,,520,853,687,293,444,766,2031,,61.316,31.927,,,,,18.591,30.497,24.562,10.476,15.874,27.386,72.614
Counselors,United States,California,54311,17705,24292,4801,4895,0,0,2109,13736,14194,9690,8057,8634,15701,38610,32.599,44.728,8.84,9.013,,,3.883,25.291,26.135,17.842,14.835,15.897,28.909,71.091
Counselors,United States,Colorado,7776,776,6161,198,,0,0,414,1597,2131,1559,1174,1315,1528,6248,9.979,79.231,2.546,,,,5.324,20.538,27.405,20.049,15.098,16.911,19.65,80.35
Counselors,United States,Connecticut,4784,342,3328,761,,0,0,,1006,1244,901,967,666,1140,3644,7.149,69.565,15.907,,,,,21.028,26.003,18.834,20.213,13.921,23.829,76.171
Counselors,United States,Delaware,1899,0,1009,,,0,0,,,,547,,,,1548,,53.133,,,,,,,,28.805,,,,81.517
Counselors,United States,District of Columbia,1169,0,305,681,,0,0,,,,,,345,572,597,,26.091,58.255,,,,,,,,,29.512,48.931,51.069
Counselors,United States,Florida,23400,6348,11308,4891,388,0,0,453,4694,5975,5254,3693,3784,6306,17094,27.128,48.325,20.902,1.658,,,1.936,20.06,25.534,22.453,15.782,16.171,26.949,73.051
Counselors,United States,Georgia,10391,0,4640,4880,,0,0,368,1525,3398,2512,1788,1168,2078,8313,,44.654,46.964,,,,3.542,14.676,32.701,24.175,17.207,11.24,19.998,80.002
Counselors,United States,Hawaii,1716,0,656,,470,0,0,,,664,706,183,,503,1213,,38.228,,27.389,,,,,38.695,41.142,10.664,,29.312,70.688
Counselors,United States,Idaho,3023,0,2573,,,0,0,,519,594,704,338,868,846,2177,,85.114,,,,,,17.168,19.649,23.288,11.181,28.713,27.985,72.015
Counselors,United States,Illinois,15654,1995,9359,3493,433,0,0,,3966,3629,3090,2527,2442,4537,11117,12.744,59.787,22.314,2.766,,,,25.335,23.183,19.739,16.143,15.6,28.983,71.017
Counselors,United States,Indiana,7163,0,5528,1268,,0,0,,2002,1588,1465,871,1237,1579,5584,,77.174,17.702,,,,,27.949,22.169,20.452,12.16,17.269,22.044,77.956
Counselors,United States,Iowa,4400,0,3631,,,0,0,,1433,1090,867,673,337,1161,3239,,82.523,,,,,,32.568,24.773,19.705,15.295,7.659,26.386,73.614
Counselors,United States,Kansas,3117,0,2370,,,0,0,,308,1083,937,300,489,776,2341,,76.035,,,,,,9.881,34.745,30.061,9.625,15.688,24.896,75.104
Counselors,United States,Kentucky,5054,0,4300,478,,0,0,,936,1315,1483,883,437,1452,3602,,85.081,9.458,,,,,18.52,26.019,29.343,17.471,8.647,28.73,71.27
Counselors,United States,Louisiana,7323,0,2924,3967,,0,0,,2018,1802,1438,1040,1025,1495,5828,,39.929,54.172,,,,,27.557,24.607,19.637,14.202,13.997,20.415,79.585
Counselors,United States,Maine,2909,0,2682,,,0,0,,,513,598,739,684,877,2032,,92.197,,,,,,,17.635,20.557,25.404,23.513,30.148,69.852
Counselors,United States,Maryland,8246,567,4137,3147,,0,0,,2408,2123,1260,1469,986,1847,6399,6.876,50.17,38.164,,,,,29.202,25.746,15.28,17.815,11.957,22.399,77.601
Counselors,United States,Massachusetts,16541,1583,10481,3474,595,0,0,408,4526,4095,2738,2608,2574,5131,11410,9.57,63.364,21.002,3.597,,,2.467,27.362,24.757,16.553,15.767,15.561,31.02,68.98
Counselors,United States,Michigan,8836,0,6164,1678,,0,0,,1645,2228,2019,1400,1544,2183,6653,,69.76,18.99,,,,,18.617,25.215,22.85,15.844,17.474,24.706,75.294
Counselors,United States,Minnesota,10622,327,9170,536,,0,0,,2524,3215,2174,1492,1217,2974,7648,3.079,86.33,5.046,,,,,23.762,30.267,20.467,14.046,11.457,27.998,72.002
Counselors,United States,Mississippi,2073,0,909,1111,,0,0,,,618,535,,,246,1827,,43.849,53.594,,,,,,29.812,25.808,,,11.867,88.133
Counselors,United States,Missouri,7006,0,5195,1163,,0,0,,1250,1563,1564,1250,1379,2453,4553,,74.151,16.6,,,,,17.842,22.309,22.324,17.842,19.683,35.013,64.987
Counselors,United States,Montana,2186,0,1931,,,0,0,,,748,,,387,703,1483,,88.335,,,,,,,34.218,,,17.704,32.159,67.841
Counselors,United States,Nebraska,2585,0,2060,,,0,0,,607,741,375,,545,647,1938,,79.691,,,,,,23.482,28.665,14.507,,21.083,25.029,74.971
Counselors,United States,Nevada,1738,389,1002,,,0,0,,298,608,325,,,550,1188,22.382,57.652,,,,,,17.146,34.983,18.7,,,31.646,68.354
Counselors,United States,New Hampshire,2424,0,2027,,,0,0,,804,381,,597,334,621,1803,,83.622,,,,,,33.168,15.718,,24.629,13.779,25.619,74.381
Counselors,United States,New Jersey,10666,1242,6016,2855,415,0,0,,2563,3375,1310,1637,1781,2617,8049,11.644,56.404,26.767,3.891,,,,24.03,31.643,12.282,15.348,16.698,24.536,75.464
Counselors,United States,New Mexico,2986,1310,1331,,,0,0,,371,942,,442,580,751,2235,43.871,44.575,,,,,,12.425,31.547,,14.802,19.424,25.151,74.849
Counselors,United States,New York,30092,5146,16118,6877,1007,0,0,906,8210,7133,4719,4803,5227,9247,20845,17.101,53.562,22.853,3.346,,,3.011,27.283,23.704,15.682,15.961,17.37,30.729,69.271
Counselors,United States,North Carolina,10987,0,6836,3265,,0,0,278,1834,3105,2136,2328,1584,2175,8812,,62.219,29.717,,,,2.53,16.692,28.261,19.441,21.189,14.417,19.796,80.204
Counselors,United States,North Dakota,834,0,698,,,0,0,,,,,,209,,591,,83.693,,,,,,,,,,25.06,,70.863
Counselors,United States,Ohio,15448,316,11704,2871,,0,0,,3613,3616,2842,2655,2722,3879,11569,2.046,75.764,18.585,,,,,23.388,23.408,18.397,17.187,17.62,25.11,74.89
Counselors,United States,Oklahoma,5278,0,3466,,,0,286,326,,1024,905,1025,925,1769,3509,,65.669,,,,5.419,6.177,,19.401,17.147,19.42,17.526,33.516,66.484
Counselors,United States,Oregon,8093,629,6477,,,0,0,625,1042,2068,1512,2128,1343,2186,5907,7.772,80.032,,,,,7.723,12.875,25.553,18.683,26.294,16.595,27.011,72.989
Counselors,United States,Pennsylvania,25027,1423,16703,5664,521,0,0,701,5717,7342,5192,3452,3324,7090,17937,5.686,66.74,22.632,2.082,,,2.801,22.843,29.336,20.746,13.793,13.282,28.329,71.671
Counselors,United States,Rhode Island,2316,0,1863,,,0,0,,491,715,496,305,309,482,1834,,80.44,,,,,,21.2,30.872,21.416,13.169,13.342,20.812,79.188
Counselors,United States,South Carolina,5569,0,2995,2175,,0,0,,1283,1174,894,1366,852,2143,3426,,53.78,39.055,,,,,23.038,21.081,16.053,24.529,15.299,38.481,61.519
Counselors,United States,South Dakota,1645,0,1387,,,0,0,,,,,,,,1465,,84.316,,,,,,,,,,,,89.058
Counselors,United States,Tennessee,7028,0,4963,1481,,0,0,,1393,2076,1345,1313,901,1524,5504,,70.618,21.073,,,,,19.821,29.539,19.138,18.682,12.82,21.685,78.315
Counselors,United States,Texas,23059,6018,12367,3628,461,0,0,502,4479,6847,4620,4000,3113,5600,17459,26.098,53.632,15.734,1.999,,,2.177,19.424,29.693,20.036,17.347,13.5,24.286,75.714
Counselors,United States,Utah,3754,0,3157,,,0,0,,1069,1097,762,447,379,1195,2559,,84.097,,,,,,28.476,29.222,20.298,11.907,10.096,31.833,68.167
Counselors,United States,Vermont,2613,0,2327,,,0,0,,558,598,637,,,640,1973,,89.055,,,,,,21.355,22.886,24.378,,,24.493,75.507
Counselors,United States,Virginia,14834,558,7295,6037,,0,0,,3752,4251,2504,2584,1743,3389,11445,3.762,49.178,40.697,,,,,25.293,28.657,16.88,17.419,11.75,22.846,77.154
Counselors,United States,Washington,13610,731,10822,706,593,0,0,673,2386,3281,2632,2811,2500,3486,10124,5.371,79.515,5.187,4.357,,,4.945,17.531,24.107,19.339,20.654,18.369,25.614,74.386
Counselors,United States,West Virginia,1836,0,1816,,,0,0,,328,,,342,,419,1417,,98.911,,,,,,17.865,,,18.627,,22.821,77.179
Counselors,United States,Wisconsin,5483,0,4864,,,0,0,,1389,1121,1196,996,781,1160,4323,,88.711,,,,,,25.333,20.445,21.813,18.165,14.244,21.156,78.844
Counselors,United States,Wyoming,672,0,585,,,0,0,,,,,,,,495,,87.054,,,,,,,,,,,,73.661
Counselors,United States,All States,424923,53972,262252,79078,13187,498,2030,13906,94808,111679,82732,69963,65741,113517,311406,12.702,61.718,18.61,3.103,0.117,0.478,3.273,22.312,26.282,19.47,16.465,15.471,26.715,73.285
Diagnostic Related Technologists & Technicians,United States,Alabama,7508,0,6159,705,,0,0,,1735,1598,1962,1534,679,2279,5229,,82.032,9.39,,,,,23.109,21.284,26.132,20.432,9.044,30.354,69.646
Diagnostic Related Technologists & Technicians,United States,Alaska,1336,0,793,,,0,0,,,,,,,,,,59.356,,,,,,,,,,,,
Diagnostic Related Technologists & Technicians,United States,Arizona,8120,1811,5179,,396,0,0,283,1220,2587,1829,1652,832,3329,4791,22.303,63.781,,4.877,,,3.485,15.025,31.86,22.525,20.345,10.246,40.998,59.002
Diagnostic Related Technologists & Technicians,United States,Arkansas,3952,0,3278,,,0,0,,674,1055,1054,721,448,1376,2576,,82.945,,,,,,17.055,26.695,26.67,18.244,11.336,34.818,65.182
Diagnostic Related Technologists & Technicians,United States,California,41946,11595,17846,2390,8237,0,0,1664,4603,12236,9581,9190,6336,19619,22327,27.643,42.545,5.698,19.637,,,3.967,10.974,29.171,22.841,21.909,15.105,46.772,53.228
Diagnostic Related Technologists & Technicians,United States,Colorado,5810,653,4851,,,0,0,,629,1650,1745,1104,682,2081,3729,11.239,83.494,,,,,,10.826,28.399,30.034,19.002,11.738,35.818,64.182
Diagnostic Related Technologists & Technicians,United States,Connecticut,5211,0,3642,,556,0,0,,945,1163,1342,998,763,1414,3797,,69.891,,10.67,,,,18.135,22.318,25.753,19.152,14.642,27.135,72.865
Diagnostic Related Technologists & Technicians,United States,Delaware,1452,0,1289,,,0,0,,,,,321,,,1171,,88.774,,,,,,,,,22.107,,,80.647
Diagnostic Related Technologists & Technicians,United States,District of Columbia,1217,0,376,552,,0,0,,,,,,,429,788,,30.896,45.357,,,,,,,,,,35.251,64.749
Diagnostic Related Technologists & Technicians,United States,Florida,28839,6265,16986,3050,1534,0,0,930,4367,7085,6771,6671,3945,12024,16815,21.724,58.899,10.576,5.319,,,3.225,15.143,24.567,23.479,23.132,13.679,41.694,58.306
Diagnostic Related Technologists & Technicians,United States,Georgia,13792,348,9094,3771,396,0,0,,2597,3520,3675,3133,867,4128,9664,2.523,65.937,27.342,2.871,,,,18.83,25.522,26.646,22.716,6.286,29.93,70.07
Diagnostic Related Technologists & Technicians,United States,Hawaii,1542,0,318,,544,0,0,311,,485,,,,736,806,,20.623,,35.279,,,20.169,,31.453,,,,47.73,52.27
Diagnostic Related Technologists & Technicians,United States,Idaho,2142,0,1913,,,0,0,,,823,475,,,789,1353,,89.309,,,,,,,38.422,22.176,,,36.835,63.165
Diagnostic Related Technologists & Technicians,United States,Illinois,17918,1683,12340,1654,1747,0,0,,2755,4995,4434,3756,1978,5429,12489,9.393,68.869,9.231,9.75,,,,15.376,27.877,24.746,20.962,11.039,30.299,69.701
Diagnostic Related Technologists & Technicians,United States,Indiana,10109,621,8307,635,,0,0,,1776,2669,2868,1797,999,1961,8148,6.143,82.174,6.282,,,,,17.569,26.402,28.371,17.776,9.882,19.399,80.601
Diagnostic Related Technologists & Technicians,United States,Iowa,4397,0,4078,,,0,0,,1323,1385,807,466,416,767,3630,,92.745,,,,,,30.089,31.499,18.353,10.598,9.461,17.444,82.556
Diagnostic Related Technologists & Technicians,United States,Kansas,3507,0,2939,,,0,0,,790,1190,,543,330,815,2692,,83.804,,,,,,22.526,33.932,,15.483,9.41,23.239,76.761
Diagnostic Related Technologists & Technicians,United States,Kentucky,6611,0,5972,,,0,0,,1108,2176,1732,884,711,1618,4993,,90.334,,,,,,16.76,32.915,26.199,13.372,10.755,24.474,75.526
Diagnostic Related Technologists & Technicians,United States,Louisiana,6456,0,4808,573,348,0,0,,1570,2013,1261,931,681,2499,3957,,74.473,8.875,5.39,,,,24.318,31.18,19.532,14.421,10.548,38.708,61.292
Diagnostic Related Technologists & Technicians,United States,Maine,2195,0,2015,,,0,0,,,655,533,302,,611,1584,,91.8,,,,,,,29.841,24.282,13.759,,27.836,72.164
Diagnostic Related Technologists & Technicians,United States,Maryland,8419,0,5045,1935,750,0,0,,1091,2288,2442,1650,948,2531,5888,,59.924,22.984,8.908,,,,12.959,27.177,29.006,19.599,11.26,30.063,69.937
Diagnostic Related Technologists & Technicians,United States,Massachusetts,9991,500,8323,453,519,0,0,,1333,2580,2178,2387,1513,2638,7353,5.005,83.305,4.534,5.195,,,,13.342,25.823,21.8,23.892,15.144,26.404,73.596
Diagnostic Related Technologists & Technicians,United States,Michigan,14457,507,12059,707,563,0,0,576,2713,3848,2681,3294,1921,3995,10462,3.507,83.413,4.89,3.894,,,3.984,18.766,26.617,18.545,22.785,13.288,27.634,72.366
Diagnostic Related Technologists & Technicians,United States,Minnesota,8330,0,7331,,,0,0,,1756,2569,1665,1387,953,2337,5993,,88.007,,,,,,21.08,30.84,19.988,16.651,11.441,28.055,71.945
Diagnostic Related Technologists & Technicians,United States,Mississippi,3906,0,3295,423,,0,0,,973,1177,888,617,251,1478,2428,,84.357,10.829,,,,,24.91,30.133,22.734,15.796,6.426,37.839,62.161
Diagnostic Related Technologists & Technicians,United States,Missouri,7835,0,6926,,,0,0,,1391,1897,1986,1543,1018,2467,5368,,88.398,,,,,,17.754,24.212,25.348,19.694,12.993,31.487,68.513
Diagnostic Related Technologists & Technicians,United States,Montana,1592,0,1559,,,0,0,,,,,,,614,978,,97.927,,,,,,,,,,,38.568,61.432
Diagnostic Related Technologists & Technicians,United States,Nebraska,2791,0,2625,,,0,0,,533,1180,443,,,767,2024,,94.052,,,,,,19.097,42.279,15.872,,,27.481,72.519
Diagnostic Related Technologists & Technicians,United States,Nevada,3692,527,1979,,729,0,0,,442,852,784,1329,285,1362,2330,14.274,53.602,,19.745,,,,11.972,23.077,21.235,35.997,7.719,36.891,63.109
Diagnostic Related Technologists & Technicians,United States,New Hampshire,1614,0,1477,,,0,0,,,,559,359,,502,1112,,91.512,,,,,,,,34.634,22.243,,31.103,68.897
Diagnostic Related Technologists & Technicians,United States,New Jersey,13160,1273,8829,1332,1517,0,0,,2277,3127,3246,2769,1741,4270,8890,9.673,67.09,10.122,11.527,,,,17.302,23.761,24.666,21.041,13.229,32.447,67.553
Diagnostic Related Technologists & Technicians,United States,New Mexico,2111,1043,896,,,0,0,,683,,506,381,,667,1444,49.408,42.444,,,,,,32.354,,23.97,18.048,,31.596,68.404
Diagnostic Related Technologists & Technicians,United States,New York,29760,3940,17839,3824,3493,0,0,656,4469,8180,6675,6638,3798,11311,18449,13.239,59.943,12.849,11.737,,,2.204,15.017,27.487,22.429,22.305,12.762,38.007,61.993
Diagnostic Related Technologists & Technicians,United States,North Carolina,13923,1044,10184,1873,570,0,0,,2673,3134,3697,3277,1142,3491,10432,7.498,73.145,13.453,4.094,,,,19.198,22.51,26.553,23.537,8.202,25.074,74.926
Diagnostic Related Technologists & Technicians,United States,North Dakota,1134,0,1021,,,0,0,,,,,,,,817,,90.035,,,,,,,,,,,,72.046
